States,Unemployment
Andhra Pradesh,4.4
Assam,8.2
Bihar,13.3
Chhattisgarh,0.7
Delhi,13.6
Goa,13.4
Gujarat,2.1
Haryana,24.6
Himachal Pradesh,9.6
Jammu and Kashmir,18.3
Jharkhand,13.1
Karnataka,4.3
Kerala,5.8
Madhya Pradesh,1.6
Maharashtra,4.1
Meghalaya,4.1
Odisha,2.6
Puducherry,5.6
Punjab,9.2
Rajasthan,22.2
Sikkim,7.5
Tamil Nadu,3.1
Telangana,9.4
Tripura,17.4
Uttar Pradesh,3.1
Uttarakhand,2.9
West Bengal,5.8
Ladakh,22.4
